k,kernel,score
39,epanechnikov,0.8682682702415241
40,epanechnikov,0.8668113311452115
41,epanechnikov,0.8654788588321135
42,epanechnikov,0.8642301645264212
43,epanechnikov,0.8628472251528669
44,epanechnikov,0.8606649506401395
45,epanechnikov,0.8575219252435945
46,epanechnikov,0.8555818648197151
47,epanechnikov,0.8544573575159127
48,epanechnikov,0.8532788888729822
49,epanechnikov,0.8517099959664968
50,epanechnikov,0.8507812976792339
51,epanechnikov,0.8498135100955969
52,epanechnikov,0.8487617610728904
53,epanechnikov,0.8480364097810988
54,epanechnikov,0.8473107533269724
55,epanechnikov,0.8459863470642495
56,epanechnikov,0.8449123289754202
57,epanechnikov,0.8447196936424475
58,epanechnikov,0.8436275689267994
59,epanechnikov,0.8424847971066445
60,epanechnikov,0.8416876430745659
61,epanechnikov,0.8414436410997677
62,epanechnikov,0.8401162150188894
63,epanechnikov,0.8389573505339651
64,epanechnikov,0.8383841680602748
65,epanechnikov,0.8379700830802567
66,epanechnikov,0.8379017579646559
67,epanechnikov,0.837521575038074
68,epanechnikov,0.8367115620914317
69,epanechnikov,0.8346403531827493
70,epanechnikov,0.8339420214325568
71,epanechnikov,0.8332560075304076
72,epanechnikov,0.8329703186355026
73,epanechnikov,0.8324639947276645
74,epanechnikov,0.8320920277854953
75,epanechnikov,0.8313137337385514
76,epanechnikov,0.8307520101260459
77,epanechnikov,0.8305239905940893
78,epanechnikov,0.8302850867072425
79,epanechnikov,0.83004199365375
80,epanechnikov,0.8298535306660573
81,epanechnikov,0.8294120482161906
82,epanechnikov,0.8284375015798864
83,epanechnikov,0.8283516876450581
84,epanechnikov,0.8281295354204162
85,epanechnikov,0.8276167631164832
86,epanechnikov,0.8279431772323097
87,epanechnikov,0.8275360651176389
88,epanechnikov,0.82691884064754
89,epanechnikov,0.8270314413913651
90,epanechnikov,0.8270602121750011
91,epanechnikov,0.8266650746982116
92,epanechnikov,0.8263960206787245
93,epanechnikov,0.826057518322765
94,epanechnikov,0.8259988884802231
95,epanechnikov,0.8257456021456393
96,epanechnikov,0.8256563582310381
97,epanechnikov,0.8251388465669907
98,epanechnikov,0.8248532195798823
99,epanechnikov,0.8244580874957995
1,exponential,0.8478039969300937
2,exponential,0.8876074021330244
3,exponential,0.9015143962643102
4,exponential,0.9077673741446615
5,exponential,0.9107755404635729
6,exponential,0.9127014994284771
7,exponential,0.914531913407041
8,exponential,0.9148157868186055
9,exponential,0.9149814791522958
10,exponential,0.9148771906044552
11,exponential,0.91467980621236
12,exponential,0.9139759487185456
13,exponential,0.9135510987240496
14,exponential,0.9127056210413371
15,exponential,0.9115469834478055
16,exponential,0.910266268788203
17,exponential,0.908436413075864
18,exponential,0.906345514343772
19,exponential,0.9048091313337772
20,exponential,0.9027448881083215
21,exponential,0.9006139857459636
22,exponential,0.8985119815339006
23,exponential,0.896376879461614
24,exponential,0.8944285721102858
25,exponential,0.8920682873213578
26,exponential,0.8901784400731382
27,exponential,0.8877027144240002
28,exponential,0.885688270314693
29,exponential,0.8835453905614076
30,exponential,0.881983462692782
31,exponential,0.8790443821067428
32,exponential,0.8771899434743352
33,exponential,0.8751238482077855
34,exponential,0.873879471206912
35,exponential,0.8719445456016492
36,exponential,0.8703653998253083
37,exponential,0.8688748677621143
38,exponential,0.8671249635775731
39,exponential,0.8662490900586354
40,exponential,0.8651411705121321
41,exponential,0.863730469543943
42,exponential,0.8625038433782414
43,exponential,0.8610980832221354
44,exponential,0.859704879236134
45,exponential,0.8579893354752939
46,exponential,0.8563696983962827
47,exponential,0.8556583702069972
48,exponential,0.8544028978443836
49,exponential,0.8531783178396999
50,exponential,0.8522590859858948
51,exponential,0.8512062338869045
52,exponential,0.8503316346318427
53,exponential,0.8496210398012629
54,exponential,0.8489074220575749
55,exponential,0.8479586072584094
56,exponential,0.8468581141108817
57,exponential,0.8463609550501234
58,exponential,0.8452952066253494
59,exponential,0.8445239321210065
60,exponential,0.8436712440445631
61,exponential,0.8430945228697769
62,exponential,0.842226408210846
63,exponential,0.8414357311367817
64,exponential,0.8410359626453724
65,exponential,0.8404133687489185
66,exponential,0.8400151102150798
67,exponential,0.8397935892460843
68,exponential,0.8392658834822879
69,exponential,0.8381637323004738
70,exponential,0.8376970843511224
71,exponential,0.8370214363907772
72,exponential,0.8366983460711999
73,exponential,0.836401443931094
74,exponential,0.8361113146621402
75,exponential,0.8356556402588665
76,exponential,0.8351225096502771
77,exponential,0.8347253846618617
78,exponential,0.8343822126163805
79,exponential,0.8339642270573601
80,exponential,0.8335968103693888
81,exponential,0.8332207767487824
82,exponential,0.8326135576701046
83,exponential,0.8323636254333623
84,exponential,0.8318052954828409
85,exponential,0.8313504243786038
86,exponential,0.831074866177935
87,exponential,0.8306771225994554
88,exponential,0.8302217675234141
89,exponential,0.8299714263889113
90,exponential,0.8298164758897966
91,exponential,0.8296222115748617
92,exponential,0.8293751009216975
93,exponential,0.829079069377118
94,exponential,0.8288893570705176
95,exponential,0.8284812045467681
96,exponential,0.8282526408940585
97,exponential,0.8275681036339266
98,exponential,0.8273198458332804
99,exponential,0.8270535789718905
1,gaussian,0.8478039969300937
2,gaussian,0.8873547547067349
3,gaussian,0.9009864373493498
4,gaussian,0.907014283309451
5,gaussian,0.9098457222268003
6,gaussian,0.9114899801083997
7,gaussian,0.9129960071535292
8,gaussian,0.9128587315421235
9,gaussian,0.9127300632184023
10,gaussian,0.9121909040185167
11,gaussian,0.9115728347528639
12,gaussian,0.9104069719943458
13,gaussian,0.9094247932631209
14,gaussian,0.9079735560799305
15,gaussian,0.906031401963786
16,gaussian,0.9038765959278869
17,gaussian,0.901348730459199
18,gaussian,0.8986812612853882
19,gaussian,0.8961753359695411
20,gaussian,0.8930836369690612
21,gaussian,0.8899708865195803
22,gaussian,0.886918502192328
23,gaussian,0.8839800521326614
24,gaussian,0.8812396578855171
25,gaussian,0.8781663417381098
26,gaussian,0.8754711950058901
27,gaussian,0.8724791071401663
28,gaussian,0.8697924585888128
29,gaussian,0.8671250834579447
30,gaussian,0.8650559677521468
31,gaussian,0.8619988568989275
32,gaussian,0.8599180303719469
33,gaussian,0.8576088946008257
34,gaussian,0.8562654969376027
35,gaussian,0.8542585211725289
36,gaussian,0.8525500476400103
37,gaussian,0.8509792161071076
